time,crd,vel,ekin,ene_0,ene_1,epot,etotal,coff_0,coff_1,prob,random,state
100.000,-3.55000017,0.01449999,0.21024985,-2.00002483,2.00002483,-2.00002483,-1.78977498,1.00000000,0.00000000,0.00000000,0.27800739,0
101.000,-3.53550018,0.01449999,0.21024984,-2.00002482,2.00002482,-2.00002482,-1.78977498,1.00000000,0.00000000,0.00000000,0.45965308,0
102.000,-3.52100018,0.01449999,0.21024984,-2.00002482,2.00002482,-2.00002482,-1.78977498,1.00000000,0.00000000,0.00000000,0.69483058,0
103.000,-3.50650019,0.01449999,0.21024983,-2.00002481,2.00002481,-2.00002481,-1.78977498,1.00000000,0.00000000,0.00000000,0.19474553,0
104.000,-3.49200019,0.01449999,0.21024983,-2.00002481,2.00002481,-2.00002481,-1.78977498,1.00000000,0.00000000,0.00000000,0.69264440,0
105.000,-3.47750020,0.01449999,0.21024983,-2.00002480,2.00002480,-2.00002480,-1.78977498,1.00000000,0.00000000,0.00000000,0.23257192,0
106.000,-3.46300021,0.01449999,0.21024982,-2.00002480,2.00002480,-2.00002480,-1.78977498,1.00000000,0.00000000,0.00000000,0.93038766,0
107.000,-3.44850021,0.01449999,0.21024982,-2.00002479,2.00002479,-2.00002479,-1.78977498,1.00000000,0.00000000,0.00000000,0.48439088,0
108.000,-3.43400022,0.01449999,0.21024981,-2.00002479,2.00002479,-2.00002479,-1.78977498,1.00000000,0.00000000,0.00000000,0.20222428,0
109.000,-3.41950022,0.01449999,0.21024981,-2.00002479,2.00002479,-2.00002479,-1.78977498,1.00000000,0.00000000,0.00000000,0.37482083,0
110.000,-3.40500023,0.01449999,0.21024980,-2.00002478,2.00002478,-2.00002478,-1.78977498,1.00000000,0.00000000,0.00000000,0.70734250,0
111.000,-3.39050024,0.01449999,0.21024980,-2.00002477,2.00002477,-2.00002477,-1.78977498,1.00000000,0.00000000,0.00000000,0.54123672,0
112.000,-3.37600025,0.01449999,0.21024979,-2.00002477,2.00002477,-2.00002477,-1.78977498,1.00000000,0.00000000,0.00000000,0.00744515,0
113.000,-3.36150025,0.01449999,0.21024979,-2.00002476,2.00002476,-2.00002476,-1.78977498,1.00000000,0.00000000,0.00000000,0.97957977,0
114.000,-3.34700026,0.01449999,0.21024978,-2.00002476,2.00002476,-2.00002476,-1.78977498,1.00000000,0.00000000,0.00000000,0.00980352,0
115.000,-3.33250027,0.01449999,0.21024978,-2.00002475,2.00002475,-2.00002475,-1.78977498,1.00000000,0.00000000,0.00000000,0.85081857,0
116.000,-3.31800028,0.01449999,0.21024977,-2.00002475,2.00002475,-2.00002475,-1.78977498,1.00000000,0.00000000,0.00000000,0.55025834,0
117.000,-3.30350028,0.01449999,0.21024976,-2.00002474,2.00002474,-2.00002474,-1.78977498,1.00000000,0.00000000,0.00000000,0.92633349,0
118.000,-3.28900029,0.01449999,0.21024976,-2.00002474,2.00002474,-2.00002474,-1.78977498,1.00000000,0.00000000,0.00000000,0.93281538,0
119.000,-3.27450030,0.01449999,0.21024975,-2.00002473,2.00002473,-2.00002473,-1.78977498,1.00000000,0.00000000,0.00000000,0.65447380,0
120.000,-3.26000031,0.01449999,0.21024975,-2.00002472,2.00002472,-2.00002472,-1.78977498,1.00000000,0.00000000,0.00000000,0.62308897,0
